neuron_id,spike_array_horizontal_line.pkl,spike_array_image_135.pkl,spike_array_image_45.pkl,spike_array_vertical_line.pkl
0,0.0,10.0,0.0,0.0
1,0.0,5.0,0.0,0.0
14,0.0,0.0,0.0,5.0
15,0.0,0.0,0.0,5.0
16,0.0,0.0,0.0,10.0
17,0.0,0.0,0.0,5.0
18,0.0,0.0,0.0,5.0
29,0.0,0.0,5.0,0.0
31,0.0,0.0,15.0,0.0
32,0.0,5.0,0.0,0.0
33,0.0,5.0,0.0,0.0
34,0.0,5.0,0.0,0.0
47,0.0,0.0,0.0,10.0
48,0.0,0.0,0.0,15.0
49,0.0,0.0,0.0,10.0
50,0.0,0.0,0.0,5.0
61,0.0,0.0,15.0,0.0
65,0.0,5.0,0.0,0.0
66,0.0,5.0,0.0,0.0
69,0.0,5.0,0.0,0.0
80,0.0,0.0,0.0,5.0
91,0.0,0.0,5.0,0.0
93,0.0,0.0,5.0,0.0
95,0.0,0.0,15.0,0.0
97,0.0,5.0,0.0,0.0
98,0.0,5.0,0.0,0.0
99,0.0,5.0,0.0,0.0
101,0.0,10.0,0.0,0.0
110,0.0,0.0,0.0,5.0
113,0.0,0.0,0.0,5.0
121,0.0,0.0,10.0,0.0
122,0.0,0.0,5.0,0.0
123,0.0,0.0,10.0,0.0
124,0.0,0.0,5.0,0.0
125,0.0,0.0,5.0,0.0
126,0.0,0.0,5.0,0.0
133,0.0,5.0,0.0,0.0
134,0.0,5.0,0.0,0.0
135,0.0,5.0,0.0,0.0
143,0.0,0.0,0.0,10.0
145,0.0,0.0,0.0,5.0
146,0.0,0.0,0.0,10.0
153,0.0,0.0,5.0,0.0
154,0.0,0.0,5.0,0.0
157,0.0,0.0,5.0,0.0
159,0.0,0.0,5.0,0.0
163,0.0,10.0,0.0,0.0
166,0.0,15.0,0.0,0.0
167,0.0,5.0,0.0,0.0
168,0.0,5.0,0.0,0.0
169,0.0,5.0,0.0,0.0
174,0.0,0.0,0.0,10.0
175,0.0,0.0,0.0,5.0
178,0.0,0.0,0.0,5.0
183,0.0,0.0,5.0,0.0
185,0.0,0.0,15.0,0.0
186,0.0,0.0,5.0,0.0
187,0.0,0.0,5.0,0.0
188,0.0,0.0,5.0,0.0
190,0.0,0.0,10.0,0.0
196,0.0,5.0,0.0,0.0
202,0.0,10.0,0.0,0.0
206,0.0,0.0,0.0,5.0
207,0.0,0.0,0.0,10.0
208,0.0,0.0,0.0,5.0
209,0.0,0.0,0.0,5.0
210,0.0,0.0,0.0,10.0
214,0.0,0.0,5.0,0.0
215,0.0,0.0,5.0,0.0
218,0.0,0.0,10.0,0.0
219,0.0,0.0,10.0,0.0
220,0.0,0.0,5.0,0.0
227,0.0,5.0,0.0,0.0
231,0.0,10.0,0.0,0.0
232,0.0,5.0,0.0,0.0
233,0.0,5.0,0.0,0.0
238,0.0,0.0,0.0,10.0
239,0.0,0.0,0.0,5.0
240,0.0,0.0,0.0,10.0
241,0.0,0.0,0.0,5.0
242,0.0,0.0,0.0,5.0
246,0.0,0.0,5.0,0.0
247,0.0,0.0,5.0,0.0
249,0.0,0.0,5.0,0.0
250,0.0,0.0,5.0,0.0
252,0.0,0.0,5.0,0.0
260,0.0,5.0,0.0,0.0
261,0.0,5.0,0.0,0.0
262,0.0,10.0,0.0,0.0
263,0.0,10.0,0.0,0.0
264,0.0,5.0,0.0,0.0
265,0.0,10.0,0.0,0.0
266,0.0,5.0,0.0,0.0
270,0.0,0.0,0.0,5.0
272,0.0,0.0,0.0,5.0
273,0.0,0.0,0.0,5.0
276,0.0,0.0,5.0,0.0
278,0.0,0.0,5.0,0.0
279,0.0,0.0,10.0,0.0
280,0.0,0.0,5.0,0.0
295,0.0,5.0,0.0,0.0
296,0.0,10.0,0.0,0.0
298,0.0,10.0,0.0,0.0
304,0.0,0.0,0.0,10.0
305,0.0,0.0,0.0,5.0
307,0.0,0.0,5.0,0.0
309,0.0,0.0,5.0,0.0
310,0.0,0.0,5.0,0.0
311,0.0,0.0,5.0,0.0
312,0.0,0.0,10.0,0.0
328,0.0,5.0,0.0,0.0
329,0.0,5.0,0.0,0.0
331,0.0,10.0,0.0,0.0
334,0.0,0.0,0.0,5.0
336,0.0,0.0,0.0,5.0
337,0.0,0.0,5.0,5.0
338,0.0,0.0,0.0,5.0
340,0.0,0.0,5.0,0.0
341,0.0,0.0,10.0,0.0
342,0.0,0.0,5.0,0.0
361,0.0,5.0,0.0,0.0
364,0.0,5.0,0.0,0.0
367,0.0,10.0,0.0,15.0
370,0.0,0.0,0.0,5.0
374,0.0,0.0,10.0,0.0
375,0.0,0.0,5.0,0.0
393,0.0,5.0,0.0,0.0
394,0.0,10.0,0.0,0.0
395,0.0,15.0,0.0,0.0
396,0.0,5.0,0.0,0.0
397,0.0,0.0,0.0,5.0
398,0.0,5.0,0.0,5.0
399,0.0,0.0,5.0,5.0
400,0.0,0.0,5.0,5.0
401,0.0,0.0,5.0,0.0
402,0.0,0.0,5.0,0.0
